catalogNumber,split,is_negative,num_instances,image_path,label_path
LSU00183756,train,False,25,data\yolo_dataset\images\train\LSU00183756.jpg,data\yolo_dataset\labels\train\LSU00183756.txt
LSU00216144,train,False,15,data\yolo_dataset\images\train\LSU00216144.jpg,data\yolo_dataset\labels\train\LSU00216144.txt
LSU00221223,train,False,30,data\yolo_dataset\images\train\LSU00221223.jpg,data\yolo_dataset\labels\train\LSU00221223.txt
LSU00183757,train,False,21,data\yolo_dataset\images\train\LSU00183757.jpg,data\yolo_dataset\labels\train\LSU00183757.txt
LSU00057263,train,False,19,data\yolo_dataset\images\train\LSU00057263.jpg,data\yolo_dataset\labels\train\LSU00057263.txt
LSU00183759,train,False,23,data\yolo_dataset\images\train\LSU00183759.jpg,data\yolo_dataset\labels\train\LSU00183759.txt
NLU0453434,train,False,28,data\yolo_dataset\images\train\NLU0453434.jpg,data\yolo_dataset\labels\train\NLU0453434.txt
LSU00029026,train,False,25,data\yolo_dataset\images\train\LSU00029026.jpg,data\yolo_dataset\labels\train\LSU00029026.txt
LSU00183758,train,False,19,data\yolo_dataset\images\train\LSU00183758.jpg,data\yolo_dataset\labels\train\LSU00183758.txt
LSU00017604,train,False,2,data\yolo_dataset\images\train\LSU00017604.jpg,data\yolo_dataset\labels\train\LSU00017604.txt
LSU00220854,train,False,21,data\yolo_dataset\images\train\LSU00220854.jpg,data\yolo_dataset\labels\train\LSU00220854.txt
LSU00117616,train,False,21,data\yolo_dataset\images\train\LSU00117616.jpg,data\yolo_dataset\labels\train\LSU00117616.txt
LSU00083067,train,False,26,data\yolo_dataset\images\train\LSU00083067.jpg,data\yolo_dataset\labels\train\LSU00083067.txt
LSU00106988,train,False,20,data\yolo_dataset\images\train\LSU00106988.jpg,data\yolo_dataset\labels\train\LSU00106988.txt
LSU00223868,train,False,10,data\yolo_dataset\images\train\LSU00223868.jpg,data\yolo_dataset\labels\train\LSU00223868.txt
LSU00031207,train,False,9,data\yolo_dataset\images\train\LSU00031207.jpg,data\yolo_dataset\labels\train\LSU00031207.txt
NCU00449731,train,False,20,data\yolo_dataset\images\train\NCU00449731.jpg,data\yolo_dataset\labels\train\NCU00449731.txt
NCU00377936,train,False,23,data\yolo_dataset\images\train\NCU00377936.jpg,data\yolo_dataset\labels\train\NCU00377936.txt
NCU00434832,train,False,28,data\yolo_dataset\images\train\NCU00434832.jpg,data\yolo_dataset\labels\train\NCU00434832.txt
NCU00444347,train,False,13,data\yolo_dataset\images\train\NCU00444347.jpg,data\yolo_dataset\labels\train\NCU00444347.txt
NCU00094222,train,False,3,data\yolo_dataset\images\train\NCU00094222.jpg,data\yolo_dataset\labels\train\NCU00094222.txt
NCU00449148,train,False,36,data\yolo_dataset\images\train\NCU00449148.jpg,data\yolo_dataset\labels\train\NCU00449148.txt
NCU00442051,train,False,25,data\yolo_dataset\images\train\NCU00442051.jpg,data\yolo_dataset\labels\train\NCU00442051.txt
NCU00445769,train,False,17,data\yolo_dataset\images\train\NCU00445769.jpg,data\yolo_dataset\labels\train\NCU00445769.txt
NCU00451574,train,False,22,data\yolo_dataset\images\train\NCU00451574.jpg,data\yolo_dataset\labels\train\NCU00451574.txt
NCU00447408,train,False,16,data\yolo_dataset\images\train\NCU00447408.jpg,data\yolo_dataset\labels\train\NCU00447408.txt
NCU00377918,train,False,25,data\yolo_dataset\images\train\NCU00377918.jpg,data\yolo_dataset\labels\train\NCU00377918.txt
NCU00377791,train,False,14,data\yolo_dataset\images\train\NCU00377791.jpg,data\yolo_dataset\labels\train\NCU00377791.txt
NCU00438235,train,False,21,data\yolo_dataset\images\train\NCU00438235.jpg,data\yolo_dataset\labels\train\NCU00438235.txt
NCU00385179,train,False,12,data\yolo_dataset\images\train\NCU00385179.jpg,data\yolo_dataset\labels\train\NCU00385179.txt
NCU00385172,train,False,18,data\yolo_dataset\images\train\NCU00385172.jpg,data\yolo_dataset\labels\train\NCU00385172.txt
NCU00091068,train,False,1,data\yolo_dataset\images\train\NCU00091068.jpg,data\yolo_dataset\labels\train\NCU00091068.txt
NCU00027974,train,False,1,data\yolo_dataset\images\train\NCU00027974.jpg,data\yolo_dataset\labels\train\NCU00027974.txt
NCU00377922,train,False,24,data\yolo_dataset\images\train\NCU00377922.jpg,data\yolo_dataset\labels\train\NCU00377922.txt
NCU00385142,train,False,14,data\yolo_dataset\images\train\NCU00385142.jpg,data\yolo_dataset\labels\train\NCU00385142.txt
NCU00431166,train,False,12,data\yolo_dataset\images\train\NCU00431166.jpg,data\yolo_dataset\labels\train\NCU00431166.txt
NCU00377778,train,False,3,data\yolo_dataset\images\train\NCU00377778.jpg,data\yolo_dataset\labels\train\NCU00377778.txt
NCU00438246,train,False,9,data\yolo_dataset\images\train\NCU00438246.jpg,data\yolo_dataset\labels\train\NCU00438246.txt
NCU00438215,train,False,13,data\yolo_dataset\images\train\NCU00438215.jpg,data\yolo_dataset\labels\train\NCU00438215.txt
NCU00385181,train,False,2,data\yolo_dataset\images\train\NCU00385181.jpg,data\yolo_dataset\labels\train\NCU00385181.txt
NCU00385200,train,False,2,data\yolo_dataset\images\train\NCU00385200.jpg,data\yolo_dataset\labels\train\NCU00385200.txt
NCU00385168,train,False,2,data\yolo_dataset\images\train\NCU00385168.jpg,data\yolo_dataset\labels\train\NCU00385168.txt
NCU00438241,train,False,16,data\yolo_dataset\images\train\NCU00438241.jpg,data\yolo_dataset\labels\train\NCU00438241.txt
NCU00384961,train,False,2,data\yolo_dataset\images\train\NCU00384961.jpg,data\yolo_dataset\labels\train\NCU00384961.txt
NCU00438217,train,False,13,data\yolo_dataset\images\train\NCU00438217.jpg,data\yolo_dataset\labels\train\NCU00438217.txt
NCU00377777,train,False,25,data\yolo_dataset\images\train\NCU00377777.jpg,data\yolo_dataset\labels\train\NCU00377777.txt
NCU00385183,train,False,25,data\yolo_dataset\images\train\NCU00385183.jpg,data\yolo_dataset\labels\train\NCU00385183.txt
NCU00377788,train,False,16,data\yolo_dataset\images\train\NCU00377788.jpg,data\yolo_dataset\labels\train\NCU00377788.txt
NCU00377926,train,False,10,data\yolo_dataset\images\train\NCU00377926.jpg,data\yolo_dataset\labels\train\NCU00377926.txt
NCU00377787,train,False,24,data\yolo_dataset\images\train\NCU00377787.jpg,data\yolo_dataset\labels\train\NCU00377787.txt
NCU00377779,train,False,3,data\yolo_dataset\images\train\NCU00377779.jpg,data\yolo_dataset\labels\train\NCU00377779.txt
NCU00438232,train,False,16,data\yolo_dataset\images\train\NCU00438232.jpg,data\yolo_dataset\labels\train\NCU00438232.txt
NCU00385184,train,False,11,data\yolo_dataset\images\train\NCU00385184.jpg,data\yolo_dataset\labels\train\NCU00385184.txt
NCU00385173,train,False,12,data\yolo_dataset\images\train\NCU00385173.jpg,data\yolo_dataset\labels\train\NCU00385173.txt
NCU00119626,train,False,2,data\yolo_dataset\images\train\NCU00119626.jpg,data\yolo_dataset\labels\train\NCU00119626.txt
NCU00377776,train,False,15,data\yolo_dataset\images\train\NCU00377776.jpg,data\yolo_dataset\labels\train\NCU00377776.txt
NCU00385164,train,False,15,data\yolo_dataset\images\train\NCU00385164.jpg,data\yolo_dataset\labels\train\NCU00385164.txt
NCU00385187,train,False,9,data\yolo_dataset\images\train\NCU00385187.jpg,data\yolo_dataset\labels\train\NCU00385187.txt
NCU00385166,train,False,19,data\yolo_dataset\images\train\NCU00385166.jpg,data\yolo_dataset\labels\train\NCU00385166.txt
NCU00384962,train,False,2,data\yolo_dataset\images\train\NCU00384962.jpg,data\yolo_dataset\labels\train\NCU00384962.txt
NCU00438214,train,False,11,data\yolo_dataset\images\train\NCU00438214.jpg,data\yolo_dataset\labels\train\NCU00438214.txt
NCU00377794,train,False,19,data\yolo_dataset\images\train\NCU00377794.jpg,data\yolo_dataset\labels\train\NCU00377794.txt
NCU00385153,train,False,1,data\yolo_dataset\images\train\NCU00385153.jpg,data\yolo_dataset\labels\train\NCU00385153.txt
NCU00438238,train,False,19,data\yolo_dataset\images\train\NCU00438238.jpg,data\yolo_dataset\labels\train\NCU00438238.txt
NCU00385191,train,False,9,data\yolo_dataset\images\train\NCU00385191.jpg,data\yolo_dataset\labels\train\NCU00385191.txt
NCU00385188,train,False,2,data\yolo_dataset\images\train\NCU00385188.jpg,data\yolo_dataset\labels\train\NCU00385188.txt
NCU00377932,train,False,11,data\yolo_dataset\images\train\NCU00377932.jpg,data\yolo_dataset\labels\train\NCU00377932.txt
NCU00438220,train,False,14,data\yolo_dataset\images\train\NCU00438220.jpg,data\yolo_dataset\labels\train\NCU00438220.txt
NCU00385195,train,False,2,data\yolo_dataset\images\train\NCU00385195.jpg,data\yolo_dataset\labels\train\NCU00385195.txt
NCU00438237,train,False,24,data\yolo_dataset\images\train\NCU00438237.jpg,data\yolo_dataset\labels\train\NCU00438237.txt
NCU00076963,train,False,3,data\yolo_dataset\images\train\NCU00076963.jpg,data\yolo_dataset\labels\train\NCU00076963.txt
NCU00384959,train,False,1,data\yolo_dataset\images\train\NCU00384959.jpg,data\yolo_dataset\labels\train\NCU00384959.txt
NCU00377774,train,False,20,data\yolo_dataset\images\train\NCU00377774.jpg,data\yolo_dataset\labels\train\NCU00377774.txt
NCU00385149,train,False,2,data\yolo_dataset\images\train\NCU00385149.jpg,data\yolo_dataset\labels\train\NCU00385149.txt
NCU00438234,train,False,27,data\yolo_dataset\images\train\NCU00438234.jpg,data\yolo_dataset\labels\train\NCU00438234.txt
NCU00227517,train,False,23,data\yolo_dataset\images\train\NCU00227517.jpg,data\yolo_dataset\labels\train\NCU00227517.txt
NCU00377800,train,False,3,data\yolo_dataset\images\train\NCU00377800.jpg,data\yolo_dataset\labels\train\NCU00377800.txt
NCU00385190,train,False,9,data\yolo_dataset\images\train\NCU00385190.jpg,data\yolo_dataset\labels\train\NCU00385190.txt
NCU00438236,train,False,32,data\yolo_dataset\images\train\NCU00438236.jpg,data\yolo_dataset\labels\train\NCU00438236.txt
NCU00377930,train,False,19,data\yolo_dataset\images\train\NCU00377930.jpg,data\yolo_dataset\labels\train\NCU00377930.txt
NCU00384965,train,False,1,data\yolo_dataset\images\train\NCU00384965.jpg,data\yolo_dataset\labels\train\NCU00384965.txt
NCU00457404,train,False,12,data\yolo_dataset\images\train\NCU00457404.jpg,data\yolo_dataset\labels\train\NCU00457404.txt
NCU00445859,train,False,27,data\yolo_dataset\images\train\NCU00445859.jpg,data\yolo_dataset\labels\train\NCU00445859.txt
NCU00385177,train,False,2,data\yolo_dataset\images\train\NCU00385177.jpg,data\yolo_dataset\labels\train\NCU00385177.txt
NCU00377917,train,False,6,data\yolo_dataset\images\train\NCU00377917.jpg,data\yolo_dataset\labels\train\NCU00377917.txt
NCU00385163,train,False,11,data\yolo_dataset\images\train\NCU00385163.jpg,data\yolo_dataset\labels\train\NCU00385163.txt
NCU00385159,train,False,2,data\yolo_dataset\images\train\NCU00385159.jpg,data\yolo_dataset\labels\train\NCU00385159.txt
NCU00438216,train,False,15,data\yolo_dataset\images\train\NCU00438216.jpg,data\yolo_dataset\labels\train\NCU00438216.txt
NCU00385189,train,False,13,data\yolo_dataset\images\train\NCU00385189.jpg,data\yolo_dataset\labels\train\NCU00385189.txt
NCU00384963,train,False,2,data\yolo_dataset\images\train\NCU00384963.jpg,data\yolo_dataset\labels\train\NCU00384963.txt
NCU00451271,train,False,13,data\yolo_dataset\images\train\NCU00451271.jpg,data\yolo_dataset\labels\train\NCU00451271.txt
NCU00385151,train,False,2,data\yolo_dataset\images\train\NCU00385151.jpg,data\yolo_dataset\labels\train\NCU00385151.txt
NCU00385192,train,False,17,data\yolo_dataset\images\train\NCU00385192.jpg,data\yolo_dataset\labels\train\NCU00385192.txt
NCU00385146,train,False,10,data\yolo_dataset\images\train\NCU00385146.jpg,data\yolo_dataset\labels\train\NCU00385146.txt
NCU00385152,train,False,21,data\yolo_dataset\images\train\NCU00385152.jpg,data\yolo_dataset\labels\train\NCU00385152.txt
NCU00377785,train,False,37,data\yolo_dataset\images\train\NCU00377785.jpg,data\yolo_dataset\labels\train\NCU00377785.txt
NCU00377768,train,False,22,data\yolo_dataset\images\train\NCU00377768.jpg,data\yolo_dataset\labels\train\NCU00377768.txt
NCU00097021,train,False,2,data\yolo_dataset\images\train\NCU00097021.jpg,data\yolo_dataset\labels\train\NCU00097021.txt
NCU00385155,train,False,2,data\yolo_dataset\images\train\NCU00385155.jpg,data\yolo_dataset\labels\train\NCU00385155.txt
NCU00385147,train,False,2,data\yolo_dataset\images\train\NCU00385147.jpg,data\yolo_dataset\labels\train\NCU00385147.txt
NCU00385198,train,False,2,data\yolo_dataset\images\train\NCU00385198.jpg,data\yolo_dataset\labels\train\NCU00385198.txt
NCU00143995,train,False,20,data\yolo_dataset\images\train\NCU00143995.jpg,data\yolo_dataset\labels\train\NCU00143995.txt
NCU00438244,train,False,14,data\yolo_dataset\images\train\NCU00438244.jpg,data\yolo_dataset\labels\train\NCU00438244.txt
NCU00097020,train,False,20,data\yolo_dataset\images\train\NCU00097020.jpg,data\yolo_dataset\labels\train\NCU00097020.txt
NCU00438218,train,False,14,data\yolo_dataset\images\train\NCU00438218.jpg,data\yolo_dataset\labels\train\NCU00438218.txt
NCU00377925,train,False,8,data\yolo_dataset\images\train\NCU00377925.jpg,data\yolo_dataset\labels\train\NCU00377925.txt
NCU00227518,train,False,14,data\yolo_dataset\images\train\NCU00227518.jpg,data\yolo_dataset\labels\train\NCU00227518.txt
NCU00438248,train,False,13,data\yolo_dataset\images\train\NCU00438248.jpg,data\yolo_dataset\labels\train\NCU00438248.txt
NCU00377782,train,False,17,data\yolo_dataset\images\train\NCU00377782.jpg,data\yolo_dataset\labels\train\NCU00377782.txt
NCU00385182,train,False,1,data\yolo_dataset\images\train\NCU00385182.jpg,data\yolo_dataset\labels\train\NCU00385182.txt
NCU00006859,train,False,2,data\yolo_dataset\images\train\NCU00006859.jpg,data\yolo_dataset\labels\train\NCU00006859.txt
NCU00143989,train,False,10,data\yolo_dataset\images\train\NCU00143989.jpg,data\yolo_dataset\labels\train\NCU00143989.txt
NCU00377767,train,False,21,data\yolo_dataset\images\train\NCU00377767.jpg,data\yolo_dataset\labels\train\NCU00377767.txt
NCU00377783,train,False,3,data\yolo_dataset\images\train\NCU00377783.jpg,data\yolo_dataset\labels\train\NCU00377783.txt
NCU00385199,train,False,2,data\yolo_dataset\images\train\NCU00385199.jpg,data\yolo_dataset\labels\train\NCU00385199.txt
NCU00438253,train,False,33,data\yolo_dataset\images\train\NCU00438253.jpg,data\yolo_dataset\labels\train\NCU00438253.txt
NCU00377920,train,False,14,data\yolo_dataset\images\train\NCU00377920.jpg,data\yolo_dataset\labels\train\NCU00377920.txt
NCU00377927,train,False,17,data\yolo_dataset\images\train\NCU00377927.jpg,data\yolo_dataset\labels\train\NCU00377927.txt
NCU00385180,train,False,13,data\yolo_dataset\images\train\NCU00385180.jpg,data\yolo_dataset\labels\train\NCU00385180.txt
NCU00384964,train,False,2,data\yolo_dataset\images\train\NCU00384964.jpg,data\yolo_dataset\labels\train\NCU00384964.txt
NCU00384960,train,False,2,data\yolo_dataset\images\train\NCU00384960.jpg,data\yolo_dataset\labels\train\NCU00384960.txt
NCU00451272,train,False,15,data\yolo_dataset\images\train\NCU00451272.jpg,data\yolo_dataset\labels\train\NCU00451272.txt
NCU00385167,train,False,1,data\yolo_dataset\images\train\NCU00385167.jpg,data\yolo_dataset\labels\train\NCU00385167.txt
NCU00445952,train,False,21,data\yolo_dataset\images\train\NCU00445952.jpg,data\yolo_dataset\labels\train\NCU00445952.txt
NCU00377775,train,False,3,data\yolo_dataset\images\train\NCU00377775.jpg,data\yolo_dataset\labels\train\NCU00377775.txt
NCU00256114,train,False,17,data\yolo_dataset\images\train\NCU00256114.jpg,data\yolo_dataset\labels\train\NCU00256114.txt
NCU00377801,train,False,18,data\yolo_dataset\images\train\NCU00377801.jpg,data\yolo_dataset\labels\train\NCU00377801.txt
NCU00385174,train,False,10,data\yolo_dataset\images\train\NCU00385174.jpg,data\yolo_dataset\labels\train\NCU00385174.txt
NCU00383908,train,False,34,data\yolo_dataset\images\train\NCU00383908.jpg,data\yolo_dataset\labels\train\NCU00383908.txt
NCU00372529,train,False,15,data\yolo_dataset\images\train\NCU00372529.jpg,data\yolo_dataset\labels\train\NCU00372529.txt
NCU00385175,train,False,13,data\yolo_dataset\images\train\NCU00385175.jpg,data\yolo_dataset\labels\train\NCU00385175.txt
NCU00385157,train,False,2,data\yolo_dataset\images\train\NCU00385157.jpg,data\yolo_dataset\labels\train\NCU00385157.txt
NCU00385196,train,False,17,data\yolo_dataset\images\train\NCU00385196.jpg,data\yolo_dataset\labels\train\NCU00385196.txt
NCU00377796,train,False,32,data\yolo_dataset\images\train\NCU00377796.jpg,data\yolo_dataset\labels\train\NCU00377796.txt
NCU00385161,train,False,9,data\yolo_dataset\images\train\NCU00385161.jpg,data\yolo_dataset\labels\train\NCU00385161.txt
NCU00006853,train,False,20,data\yolo_dataset\images\train\NCU00006853.jpg,data\yolo_dataset\labels\train\NCU00006853.txt
NCU00438222,train,False,14,data\yolo_dataset\images\train\NCU00438222.jpg,data\yolo_dataset\labels\train\NCU00438222.txt
NCU00377784,train,False,3,data\yolo_dataset\images\train\NCU00377784.jpg,data\yolo_dataset\labels\train\NCU00377784.txt
NCU00377915,train,False,28,data\yolo_dataset\images\train\NCU00377915.jpg,data\yolo_dataset\labels\train\NCU00377915.txt
NCU00438221,train,False,19,data\yolo_dataset\images\train\NCU00438221.jpg,data\yolo_dataset\labels\train\NCU00438221.txt
NCU00385193,train,False,16,data\yolo_dataset\images\train\NCU00385193.jpg,data\yolo_dataset\labels\train\NCU00385193.txt
NCU00063300,train,False,3,data\yolo_dataset\images\train\NCU00063300.jpg,data\yolo_dataset\labels\train\NCU00063300.txt
NCU00377781,train,False,36,data\yolo_dataset\images\train\NCU00377781.jpg,data\yolo_dataset\labels\train\NCU00377781.txt
NCU00377921,train,False,13,data\yolo_dataset\images\train\NCU00377921.jpg,data\yolo_dataset\labels\train\NCU00377921.txt
NCU00063298,train,False,34,data\yolo_dataset\images\train\NCU00063298.jpg,data\yolo_dataset\labels\train\NCU00063298.txt
NCU00438247,train,False,20,data\yolo_dataset\images\train\NCU00438247.jpg,data\yolo_dataset\labels\train\NCU00438247.txt
NCU00097019,train,False,2,data\yolo_dataset\images\train\NCU00097019.jpg,data\yolo_dataset\labels\train\NCU00097019.txt
NCU00385156,train,False,20,data\yolo_dataset\images\train\NCU00385156.jpg,data\yolo_dataset\labels\train\NCU00385156.txt
HXC005766,train,False,1,data\yolo_dataset\images\train\HXC005766.jpg,data\yolo_dataset\labels\train\HXC005766.txt
HXC006286,train,False,1,data\yolo_dataset\images\train\HXC006286.jpg,data\yolo_dataset\labels\train\HXC006286.txt
HXC006589,train,False,0,data\yolo_dataset\images\train\HXC006589.jpg,data\yolo_dataset\labels\train\HXC006589.txt
HXC006350,train,False,2,data\yolo_dataset\images\train\HXC006350.jpg,data\yolo_dataset\labels\train\HXC006350.txt
HXC001260,train,False,19,data\yolo_dataset\images\train\HXC001260.jpg,data\yolo_dataset\labels\train\HXC001260.txt
SALK0000534,train,False,20,data\yolo_dataset\images\train\SALK0000534.jpg,data\yolo_dataset\labels\train\SALK0000534.txt
SALK0000535,train,False,14,data\yolo_dataset\images\train\SALK0000535.jpg,data\yolo_dataset\labels\train\SALK0000535.txt
SALK0001014,train,False,28,data\yolo_dataset\images\train\SALK0001014.jpg,data\yolo_dataset\labels\train\SALK0001014.txt
SALK0001055,train,False,32,data\yolo_dataset\images\train\SALK0001055.jpg,data\yolo_dataset\labels\train\SALK0001055.txt
BRIT01032,train,False,3,data\yolo_dataset\images\train\BRIT01032.jpg,data\yolo_dataset\labels\train\BRIT01032.txt
BRIT01034,train,False,2,data\yolo_dataset\images\train\BRIT01034.jpg,data\yolo_dataset\labels\train\BRIT01034.txt
BRIT914157,train,False,12,data\yolo_dataset\images\train\BRIT914157.jpg,data\yolo_dataset\labels\train\BRIT914157.txt
BRIT442814,train,False,10,data\yolo_dataset\images\train\BRIT442814.jpg,data\yolo_dataset\labels\train\BRIT442814.txt
BRIT331660,train,False,2,data\yolo_dataset\images\train\BRIT331660.jpg,data\yolo_dataset\labels\train\BRIT331660.txt
BRIT559541,train,False,13,data\yolo_dataset\images\train\BRIT559541.jpg,data\yolo_dataset\labels\train\BRIT559541.txt
BRIT01033,train,False,2,data\yolo_dataset\images\train\BRIT01033.jpg,data\yolo_dataset\labels\train\BRIT01033.txt
BRIT418355,train,False,2,data\yolo_dataset\images\train\BRIT418355.jpg,data\yolo_dataset\labels\train\BRIT418355.txt
BRIT1142029,train,False,2,data\yolo_dataset\images\train\BRIT1142029.jpg,data\yolo_dataset\labels\train\BRIT1142029.txt
BRIT559543,train,False,21,data\yolo_dataset\images\train\BRIT559543.jpg,data\yolo_dataset\labels\train\BRIT559543.txt
UNCC_51762,train,False,1,data\yolo_dataset\images\train\UNCC_51762.jpg,data\yolo_dataset\labels\train\UNCC_51762.txt
UNCC_49308,train,False,2,data\yolo_dataset\images\train\UNCC_49308.jpg,data\yolo_dataset\labels\train\UNCC_49308.txt
UNCC_42070,train,False,2,data\yolo_dataset\images\train\UNCC_42070.jpg,data\yolo_dataset\labels\train\UNCC_42070.txt
UNCC_51735,train,False,1,data\yolo_dataset\images\train\UNCC_51735.jpg,data\yolo_dataset\labels\train\UNCC_51735.txt
UNCC_51806,train,False,1,data\yolo_dataset\images\train\UNCC_51806.jpg,data\yolo_dataset\labels\train\UNCC_51806.txt
ANHC009976,train,False,2,data\yolo_dataset\images\train\ANHC009976.jpg,data\yolo_dataset\labels\train\ANHC009976.txt
ANHC001159,train,False,2,data\yolo_dataset\images\train\ANHC001159.jpg,data\yolo_dataset\labels\train\ANHC001159.txt
ANHC010906,train,False,2,data\yolo_dataset\images\train\ANHC010906.jpg,data\yolo_dataset\labels\train\ANHC010906.txt
ANHC001158,train,False,2,data\yolo_dataset\images\train\ANHC001158.jpg,data\yolo_dataset\labels\train\ANHC001158.txt
ANHC018788,train,False,2,data\yolo_dataset\images\train\ANHC018788.jpg,data\yolo_dataset\labels\train\ANHC018788.txt
ANHC009977,train,False,2,data\yolo_dataset\images\train\ANHC009977.jpg,data\yolo_dataset\labels\train\ANHC009977.txt
ANHC001156,train,False,2,data\yolo_dataset\images\train\ANHC001156.jpg,data\yolo_dataset\labels\train\ANHC001156.txt
ANHC018923,train,False,14,data\yolo_dataset\images\train\ANHC018923.jpg,data\yolo_dataset\labels\train\ANHC018923.txt
USCH0012965,train,False,21,data\yolo_dataset\images\train\USCH0012965.jpg,data\yolo_dataset\labels\train\USCH0012965.txt
USCH0080288,train,False,11,data\yolo_dataset\images\train\USCH0080288.jpg,data\yolo_dataset\labels\train\USCH0080288.txt
USCH0100060,train,False,2,data\yolo_dataset\images\train\USCH0100060.jpg,data\yolo_dataset\labels\train\USCH0100060.txt
USCH0100179,train,False,1,data\yolo_dataset\images\train\USCH0100179.jpg,data\yolo_dataset\labels\train\USCH0100179.txt
USCH0012972,train,False,5,data\yolo_dataset\images\train\USCH0012972.jpg,data\yolo_dataset\labels\train\USCH0012972.txt
USCH0013217,train,False,10,data\yolo_dataset\images\train\USCH0013217.jpg,data\yolo_dataset\labels\train\USCH0013217.txt
USCH0012947,train,False,2,data\yolo_dataset\images\train\USCH0012947.jpg,data\yolo_dataset\labels\train\USCH0012947.txt
USCH0012951,train,False,20,data\yolo_dataset\images\train\USCH0012951.jpg,data\yolo_dataset\labels\train\USCH0012951.txt
USCH0012950,train,False,23,data\yolo_dataset\images\train\USCH0012950.jpg,data\yolo_dataset\labels\train\USCH0012950.txt
USCH0013211,train,False,16,data\yolo_dataset\images\train\USCH0013211.jpg,data\yolo_dataset\labels\train\USCH0013211.txt
USCH0100064,train,False,2,data\yolo_dataset\images\train\USCH0100064.jpg,data\yolo_dataset\labels\train\USCH0100064.txt
USCH0012907,train,False,4,data\yolo_dataset\images\train\USCH0012907.jpg,data\yolo_dataset\labels\train\USCH0012907.txt
USCH0013130,train,False,1,data\yolo_dataset\images\train\USCH0013130.jpg,data\yolo_dataset\labels\train\USCH0013130.txt
USCH0013032,train,False,2,data\yolo_dataset\images\train\USCH0013032.jpg,data\yolo_dataset\labels\train\USCH0013032.txt
USCH0013207,train,False,26,data\yolo_dataset\images\train\USCH0013207.jpg,data\yolo_dataset\labels\train\USCH0013207.txt
USCH0012944_1,train,False,2,data\yolo_dataset\images\train\USCH0012944_1.jpg,data\yolo_dataset\labels\train\USCH0012944_1.txt
USCH0012963,train,False,4,data\yolo_dataset\images\train\USCH0012963.jpg,data\yolo_dataset\labels\train\USCH0012963.txt
USCH0013033,train,False,2,data\yolo_dataset\images\train\USCH0013033.jpg,data\yolo_dataset\labels\train\USCH0013033.txt
USCH0012958,train,False,2,data\yolo_dataset\images\train\USCH0012958.jpg,data\yolo_dataset\labels\train\USCH0012958.txt
USCH0012964,train,False,5,data\yolo_dataset\images\train\USCH0012964.jpg,data\yolo_dataset\labels\train\USCH0012964.txt
USCH0102810,train,False,1,data\yolo_dataset\images\train\USCH0102810.jpg,data\yolo_dataset\labels\train\USCH0102810.txt
USCH0012895,train,False,3,data\yolo_dataset\images\train\USCH0012895.jpg,data\yolo_dataset\labels\train\USCH0012895.txt
USCH0012929,train,False,2,data\yolo_dataset\images\train\USCH0012929.jpg,data\yolo_dataset\labels\train\USCH0012929.txt
USCH0012946,train,False,2,data\yolo_dataset\images\train\USCH0012946.jpg,data\yolo_dataset\labels\train\USCH0012946.txt
USCH0012961,train,False,6,data\yolo_dataset\images\train\USCH0012961.jpg,data\yolo_dataset\labels\train\USCH0012961.txt
USCH0012930,train,False,2,data\yolo_dataset\images\train\USCH0012930.jpg,data\yolo_dataset\labels\train\USCH0012930.txt
